1513115611232, 0.07489014, 0.074401855, 0.9899292, METAWEAR, SENSOR_ACCEL
1513115611282, 0.07513428, 0.07342529, 0.99035645, METAWEAR, SENSOR_ACCEL
1513115611329, 0.073913574, 0.07739258, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115611376, 0.07562256, 0.07543945, 0.9897461, METAWEAR, SENSOR_ACCEL
1513115611425, 0.075683594, 0.07336426, 0.9893799, METAWEAR, SENSOR_ACCEL
1513115611474, 0.07373047, 0.07501221, 0.9909668, METAWEAR, SENSOR_ACCEL
1513115611524, 0.0758667, 0.07543945, 0.99072266, METAWEAR, SENSOR_ACCEL
1513115611572, 0.07550049, 0.0748291, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115611573, 0.07635498, 0.07489014, 0.98986816, METAWEAR, SENSOR_ACCEL
1513115611619, 0.07501221, 0.0758667, 0.9894409, METAWEAR, SENSOR_ACCEL
1513115611670, 0.07550049, 0.07543945, 0.9891968, METAWEAR, SENSOR_ACCEL
1513115611718, 0.07543945, 0.07519531, 0.9906006, METAWEAR, SENSOR_ACCEL
1513115611720, 0.07489014, 0.07519531, 0.98950195, METAWEAR, SENSOR_ACCEL
1513115611767, 0.07537842, 0.07342529, 0.99017334, METAWEAR, SENSOR_ACCEL
1513115611814, 0.07519531, 0.07543945, 0.9901123, METAWEAR, SENSOR_ACCEL
1513115611863, 0.07543945, 0.07537842, 0.9906006, METAWEAR, SENSOR_ACCEL
1513115611912, 0.07537842, 0.07519531, 0.98986816, METAWEAR, SENSOR_ACCEL
1513115611961, 0.0758667, 0.075927734, 0.9902344, METAWEAR, SENSOR_ACCEL
1513115612010, 0.07489014, 0.07513428, 0.9902344, METAWEAR, SENSOR_ACCEL
1513115612013, 0.07409668, 0.074401855, 0.9893799, METAWEAR, SENSOR_ACCEL
1513115612107, 0.07525635, 0.07495117, 0.98986816, METAWEAR, SENSOR_ACCEL
1513115612156, 0.076293945, 0.075805664, 0.9906006, METAWEAR, SENSOR_ACCEL
1513115612210, 0.07531738, 0.0758667, 0.9899292, METAWEAR, SENSOR_ACCEL
1513115612257, 0.07476807, 0.072021484, 0.9908447, METAWEAR, SENSOR_ACCEL
1513115612303, 0.07696533, 0.07562256, 0.9904785, METAWEAR, SENSOR_ACCEL
1513115612352, 0.075683594, 0.07861328, 0.9891968, METAWEAR, SENSOR_ACCEL
1513115612401, 0.07519531, 0.07623291, 0.9899292, METAWEAR, SENSOR_ACCEL
1513115612448, 0.07550049, 0.072631836, 0.98895264, METAWEAR, SENSOR_ACCEL
1513115612498, 0.07537842, 0.07293701, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115612546, 0.07611084, 0.0769043, 0.989624, METAWEAR, SENSOR_ACCEL
1513115612547, 0.07574463, 0.0748291, 0.99053955, METAWEAR, SENSOR_ACCEL
1513115612644, 0.074401855, 0.07489014, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115612649, 0.07519531, 0.07531738, 0.9909668, METAWEAR, SENSOR_ACCEL
1513115612694, 0.07495117, 0.07519531, 0.99053955, METAWEAR, SENSOR_ACCEL
1513115612789, 0.07385254, 0.075927734, 0.9897461, METAWEAR, SENSOR_ACCEL
1513115612792, 0.07525635, 0.07348633, 0.98986816, METAWEAR, SENSOR_ACCEL
1513115612842, 0.07519531, 0.07507324, 0.99053955, METAWEAR, SENSOR_ACCEL
1513115612891, 0.07556152, 0.07556152, 0.9901123, METAWEAR, SENSOR_ACCEL
1513115612985, 0.07635498, 0.07476807, 0.9906006, METAWEAR, SENSOR_ACCEL
1513115612988, 0.07458496, 0.07489014, 0.9898071, METAWEAR, SENSOR_ACCEL
1513115613035, 0.07501221, 0.075805664, 0.98999023, METAWEAR, SENSOR_ACCEL
1513115613084, 0.07543945, 0.075927734, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115613132, 0.07611084, 0.07348633, 0.9891968, METAWEAR, SENSOR_ACCEL
1513115613180, 0.076049805, 0.073913574, 0.99017334, METAWEAR, SENSOR_ACCEL
1513115613231, 0.074645996, 0.079711914, 0.99072266, METAWEAR, SENSOR_ACCEL
1513115613277, 0.0770874, 0.07672119, 0.99053955, METAWEAR, SENSOR_ACCEL
1513115613326, 0.076660156, 0.07733154, 0.99035645, METAWEAR, SENSOR_ACCEL
1513115613374, 0.07647705, 0.07293701, 0.99090576, METAWEAR, SENSOR_ACCEL
1513115613425, 0.07598877, 0.061279297, 0.9902344, METAWEAR, SENSOR_ACCEL
1513115613521, 0.07385254, 0.088378906, 0.99005127, METAWEAR, SENSOR_ACCEL
1513115613569, 0.078430176, 0.074035645, 0.9904785, METAWEAR, SENSOR_ACCEL
1513115613618, 0.072387695, 0.068481445, 0.99102783, METAWEAR, SENSOR_ACCEL
1513115613667, 0.0770874, 0.07318115, 0.9901123, METAWEAR, SENSOR_ACCEL
1513115613717, 0.07598877, 0.07513428, 0.989624, METAWEAR, SENSOR_ACCEL
1513115634684, 0.07421875, 0.07550049, 0.9813843, METAWEAR, SENSOR_ACCEL
1513115634733, 0.07720947, 0.075683594, 0.9894409, METAWEAR, SENSOR_ACCEL
1513115634737, 0.075805664, 0.0736084, 0.98760986, METAWEAR, SENSOR_ACCEL
1513115634788, 0.07696533, 0.074523926, 0.98742676, METAWEAR, SENSOR_ACCEL
1513115634830, 0.07659912, 0.07696533, 0.9882202, METAWEAR, SENSOR_ACCEL
1513115634879, 0.076293945, 0.075683594, 0.98779297, METAWEAR, SENSOR_ACCEL
1513115634925, 0.076171875, 0.07495117, 0.98950195, METAWEAR, SENSOR_ACCEL
1513115634980, 0.0758667, 0.07489014, 0.9881592, METAWEAR, SENSOR_ACCEL
1513115634989, 0.07507324, 0.0758667, 0.98895264, METAWEAR, SENSOR_ACCEL
1513115635025, 0.074645996, 0.07458496, 0.987854, METAWEAR, SENSOR_ACCEL
1513115635073, 0.0758667, 0.074157715, 0.9879761, METAWEAR, SENSOR_ACCEL
1513115635120, 0.076538086, 0.076171875, 0.9880371, METAWEAR, SENSOR_ACCEL
1513115635169, 0.07476807, 0.074645996, 0.98950195, METAWEAR, SENSOR_ACCEL
1513115635223, 0.0748291, 0.074035645, 0.9891968, METAWEAR, SENSOR_ACCEL
1513115635226, 0.075683594, 0.07501221, 0.98950195, METAWEAR, SENSOR_ACCEL
1513115635272, 0.07513428, 0.07574463, 0.98846436, METAWEAR, SENSOR_ACCEL
1513115635320, 0.075683594, 0.07409668, 0.98864746, METAWEAR, SENSOR_ACCEL
1513115635364, 0.07537842, 0.07519531, 0.98895264, METAWEAR, SENSOR_ACCEL
1513115635417, 0.07556152, 0.07373047, 0.9898071, METAWEAR, SENSOR_ACCEL
1513115635464, 0.07550049, 0.07672119, 0.9894409, METAWEAR, SENSOR_ACCEL
1513115635468, 0.07543945, 0.075805664, 0.9899292, METAWEAR, SENSOR_ACCEL
1513115635512, 0.07519531, 0.07336426, 0.98986816, METAWEAR, SENSOR_ACCEL
1513115635563, 0.076660156, 0.07537842, 0.98883057, METAWEAR, SENSOR_ACCEL
1513115635610, 0.07507324, 0.078125, 0.9892578, METAWEAR, SENSOR_ACCEL
1513115635658, 0.077819824, 0.076049805, 0.9894409, METAWEAR, SENSOR_ACCEL
1513115635707, 0.075683594, 0.07702637, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115635711, 0.07757568, 0.07519531, 0.9890747, METAWEAR, SENSOR_ACCEL
1513115635756, 0.06976318, 0.072387695, 0.9902344, METAWEAR, SENSOR_ACCEL
1513115635805, 0.078125, 0.06573486, 0.98883057, METAWEAR, SENSOR_ACCEL
1513115635855, 0.074645996, 0.09161377, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115635901, 0.07525635, 0.06878662, 0.9885864, METAWEAR, SENSOR_ACCEL
1513115635949, 0.072753906, 0.06335449, 0.98895264, METAWEAR, SENSOR_ACCEL
1513115635955, 0.07543945, 0.08190918, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115636049, 0.07598877, 0.081726074, 0.9904785, METAWEAR, SENSOR_ACCEL
1513115636053, 0.07348633, 0.07421875, 0.9898071, METAWEAR, SENSOR_ACCEL
1513115636096, 0.07562256, 0.064697266, 0.9888916, METAWEAR, SENSOR_ACCEL
1513115636145, 0.07409668, 0.079956055, 0.99121094, METAWEAR, SENSOR_ACCEL
1513115636198, 0.0758667, 0.07824707, 0.9892578, METAWEAR, SENSOR_ACCEL
1513115636204, 0.074157715, 0.07531738, 0.9891968, METAWEAR, SENSOR_ACCEL
1513115636243, 0.074157715, 0.07128906, 0.9892578, METAWEAR, SENSOR_ACCEL
1513115636295, 0.07684326, 0.0715332, 0.9893799, METAWEAR, SENSOR_ACCEL
1513115636339, 0.074401855, 0.08129883, 0.9898071, METAWEAR, SENSOR_ACCEL
1513115636389, 0.07763672, 0.07745361, 0.9897461, METAWEAR, SENSOR_ACCEL
1513115636438, 0.07354736, 0.074035645, 0.99102783, METAWEAR, SENSOR_ACCEL
1513115636444, 0.075683594, 0.06555176, 0.9890747, METAWEAR, SENSOR_ACCEL
1513115636489, 0.07397461, 0.07879639, 0.989563, METAWEAR, SENSOR_ACCEL
1513115636536, 0.0758667, 0.07739258, 0.9888916, METAWEAR, SENSOR_ACCEL
1513115636584, 0.07501221, 0.07366943, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115636632, 0.07556152, 0.07171631, 0.98999023, METAWEAR, SENSOR_ACCEL
1513115636683, 0.075683594, 0.07476807, 0.98950195, METAWEAR, SENSOR_ACCEL
1513115636687, 0.075927734, 0.07659912, 0.99005127, METAWEAR, SENSOR_ACCEL
1513115636731, 0.07635498, 0.074279785, 0.98968506, METAWEAR, SENSOR_ACCEL
1513115636779, 0.0748291, 0.074523926, 0.9906006, METAWEAR, SENSOR_ACCEL
1513115636828, 0.07550049, 0.07269287, 0.9898071, METAWEAR, SENSOR_ACCEL
1513115636875, 0.0748291, 0.075683594, 0.9906006, METAWEAR, SENSOR_ACCEL
1513115636926, 0.07611084, 0.07434082, 0.9897461, METAWEAR, SENSOR_ACCEL
1513115636929, 0.07556152, 0.07366943, 0.98986816, METAWEAR, SENSOR_ACCEL
1513115637023, 0.07550049, 0.07513428, 0.99005127, METAWEAR, SENSOR_ACCEL
1513115637029, 0.07458496, 0.07342529, 0.9902954, METAWEAR, SENSOR_ACCEL
1513115637070, 0.0748291, 0.073791504, 0.9898071, METAWEAR, SENSOR_ACCEL
1513115637119, 0.07574463, 0.07525635, 0.99072266, METAWEAR, SENSOR_ACCEL
1513115637168, 0.07647705, 0.076171875, 0.98999023, METAWEAR, SENSOR_ACCEL
1513115637172, 0.07647705, 0.07397461, 0.9893799, METAWEAR, SENSOR_ACCEL
