1518706522703, 0.025, 0.115, 1.067, METAWEAR, SENSOR_ACCEL
1518706522753, -0.012, 0.116, 1.049, METAWEAR, SENSOR_ACCEL
1518706522953, 0.006, 0.119, 1.049, METAWEAR, SENSOR_ACCEL
1518706523104, -0.011, 0.156, 1.05, METAWEAR, SENSOR_ACCEL
1518706523155, -0.012, 0.131, 1.05, METAWEAR, SENSOR_ACCEL
1518706523304, -0.019, 0.102, 1.051, METAWEAR, SENSOR_ACCEL
1518706523353, 0.013, 0.038, 1.052, METAWEAR, SENSOR_ACCEL
1518706523503, 0.025, 0.223, 1.047, METAWEAR, SENSOR_ACCEL
1518706523554, 0.035, 0.049, 1.054, METAWEAR, SENSOR_ACCEL
1518706523704, -0.032, 0.145, 1.049, METAWEAR, SENSOR_ACCEL
1518706523754, -0.024, 0.192, 1.041, METAWEAR, SENSOR_ACCEL
1518706523853, 0.034, 0.145, 1.048, METAWEAR, SENSOR_ACCEL
1518706524003, -0.037, 0.104, 1.05, METAWEAR, SENSOR_ACCEL
1518706524054, 0.015, 0.083, 1.055, METAWEAR, SENSOR_ACCEL
1518706524253, -0.041, 0.078, 1.048, METAWEAR, SENSOR_ACCEL
1518706524403, 0.006, 0.131, 1.051, METAWEAR, SENSOR_ACCEL
1518706524453, -0.006, 0.118, 1.049, METAWEAR, SENSOR_ACCEL
1518706524603, -0.005, 0.119, 1.048, METAWEAR, SENSOR_ACCEL
1518706524653, -0.002, 0.122, 1.048, METAWEAR, SENSOR_ACCEL
1518706524857, -0.005, 0.122, 1.05, METAWEAR, SENSOR_ACCEL
1518706524903, -0.005, 0.121, 1.048, METAWEAR, SENSOR_ACCEL
1518706525053, -0.002, 0.121, 1.05, METAWEAR, SENSOR_ACCEL
1518706525105, -0.002, 0.12, 1.048, METAWEAR, SENSOR_ACCEL
1518706525255, -0.004, 0.12, 1.05, METAWEAR, SENSOR_ACCEL
1518706525453, -0.006, 0.122, 1.048, METAWEAR, SENSOR_ACCEL
1518706525503, -0.003, 0.123, 1.047, METAWEAR, SENSOR_ACCEL
1518706525653, -0.004, 0.122, 1.051, METAWEAR, SENSOR_ACCEL
1518706525703, -0.004, 0.119, 1.049, METAWEAR, SENSOR_ACCEL
1518706525904, -0.002, 0.121, 1.05, METAWEAR, SENSOR_ACCEL
1518706525954, -0.005, 0.122, 1.049, METAWEAR, SENSOR_ACCEL
1518706526103, -0.004, 0.122, 1.049, METAWEAR, SENSOR_ACCEL
1518706526154, -0.002, 0.122, 1.05, METAWEAR, SENSOR_ACCEL
1518706526303, -0.004, 0.121, 1.048, METAWEAR, SENSOR_ACCEL
1518706526355, -0.003, 0.123, 1.049, METAWEAR, SENSOR_ACCEL
1518706526503, -0.01, 0.114, 1.056, METAWEAR, SENSOR_ACCEL
1518706526553, 0.003, 0.085, 1.044, METAWEAR, SENSOR_ACCEL
1518706526753, -0.021, 0.152, 1.049, METAWEAR, SENSOR_ACCEL
1518706526806, -0.004, 0.18, 1.047, METAWEAR, SENSOR_ACCEL
1518706526854, 0.003, 0.133, 1.047, METAWEAR, SENSOR_ACCEL
1518706526954, -0.008, 0.132, 1.047, METAWEAR, SENSOR_ACCEL
1518706527003, -0.009, 0.118, 1.05, METAWEAR, SENSOR_ACCEL
1518706527103, -0.009, 0.121, 1.048, METAWEAR, SENSOR_ACCEL
1518706527154, -0.011, 0.116, 1.048, METAWEAR, SENSOR_ACCEL
1518706527304, -0.003, 0.118, 1.048, METAWEAR, SENSOR_ACCEL
1518706527353, -0.006, 0.112, 1.048, METAWEAR, SENSOR_ACCEL
1518706527503, -0.004, 0.117, 1.049, METAWEAR, SENSOR_ACCEL
1518706527553, -0.006, 0.114, 1.047, METAWEAR, SENSOR_ACCEL
1518706527703, -0.004, 0.117, 1.051, METAWEAR, SENSOR_ACCEL
1518706527754, -0.005, 0.121, 1.051, METAWEAR, SENSOR_ACCEL
1518706527803, -0.003, 0.121, 1.05, METAWEAR, SENSOR_ACCEL
1518706527956, -0.004, 0.118, 1.048, METAWEAR, SENSOR_ACCEL
1518706528104, -0.005, 0.118, 1.049, METAWEAR, SENSOR_ACCEL
1518706528203, 0.002, 0.124, 1.051, METAWEAR, SENSOR_ACCEL
