1518705162924, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705162925, -0.671, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705163035, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705163050, -0.61, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705163060, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705163062, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705163069, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705163098, -0.671, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705163101, -0.671, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705163117, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705163122, -0.61, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705163124, -0.671, -0.427, -0.061, METAWEAR, SENSOR_GYRO
1518705163169, -0.61, -0.366, 0, METAWEAR, SENSOR_GYRO
1518705163170, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705163221, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705163222, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705163225, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705163269, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705163274, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705163318, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705163324, -0.549, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705163326, -0.549, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705163372, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705163374, -0.671, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705163422, -0.671, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705163424, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705163426, -0.549, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705163468, -0.671, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705163474, -0.671, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705163517, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705163522, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705163524, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705163575, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705163577, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
