1518705168870, -0.011, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705168918, -0.008, 0.12, 1.021, METAWEAR, SENSOR_ACCEL
1518705168971, -0.007, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705168978, -0.009, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705169022, -0.009, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705169074, -0.006, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705169118, -0.009, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705169168, -0.01, 0.12, 1.024, METAWEAR, SENSOR_ACCEL
1518705169174, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705169222, -0.007, 0.121, 1.022, METAWEAR, SENSOR_ACCEL
1518705169272, -0.01, 0.12, 1.024, METAWEAR, SENSOR_ACCEL
1518705169317, -0.011, 0.119, 1.024, METAWEAR, SENSOR_ACCEL
1518705169368, -0.007, 0.119, 1.022, METAWEAR, SENSOR_ACCEL
1518705169376, -0.007, 0.12, 1.024, METAWEAR, SENSOR_ACCEL
1518705169425, -0.009, 0.119, 1.023, METAWEAR, SENSOR_ACCEL
1518705169526, -0.007, 0.119, 1.022, METAWEAR, SENSOR_ACCEL
1518705169540, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705169567, -0.009, 0.119, 1.024, METAWEAR, SENSOR_ACCEL
1518705169573, -0.008, 0.119, 1.022, METAWEAR, SENSOR_ACCEL
1518705169619, -0.007, 0.119, 1.023, METAWEAR, SENSOR_ACCEL
1518705169670, -0.007, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705169717, -0.009, 0.121, 1.023, METAWEAR, SENSOR_ACCEL
1518705169767, -0.007, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705169771, -0.006, 0.119, 1.022, METAWEAR, SENSOR_ACCEL
1518705169818, -0.009, 0.121, 1.023, METAWEAR, SENSOR_ACCEL
1518705169869, -0.009, 0.121, 1.023, METAWEAR, SENSOR_ACCEL
1518705169917, -0.006, 0.119, 1.022, METAWEAR, SENSOR_ACCEL
1518705169968, -0.009, 0.121, 1.023, METAWEAR, SENSOR_ACCEL
1518705169972, -0.009, 0.122, 1.022, METAWEAR, SENSOR_ACCEL
1518705170024, -0.008, 0.119, 1.023, METAWEAR, SENSOR_ACCEL
1518705170072, -0.008, 0.119, 1.023, METAWEAR, SENSOR_ACCEL
1518705170117, -0.009, 0.121, 1.023, METAWEAR, SENSOR_ACCEL
1518705170168, -0.007, 0.121, 1.022, METAWEAR, SENSOR_ACCEL
1518705170174, -0.007, 0.121, 1.023, METAWEAR, SENSOR_ACCEL
1518705170222, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705170270, -0.008, 0.12, 1.024, METAWEAR, SENSOR_ACCEL
1518705170322, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705170368, -0.008, 0.119, 1.023, METAWEAR, SENSOR_ACCEL
1518705170418, -0.008, 0.121, 1.023, METAWEAR, SENSOR_ACCEL
1518705170422, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705170475, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705170521, -0.009, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705170568, -0.008, 0.119, 1.023, METAWEAR, SENSOR_ACCEL
1518705170618, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705170626, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705170673, -0.007, 0.12, 1.024, METAWEAR, SENSOR_ACCEL
1518705170722, -0.008, 0.12, 1.024, METAWEAR, SENSOR_ACCEL
1518705170871, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705170878, -0.009, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705170918, -0.007, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705170923, -0.008, 0.119, 1.023, METAWEAR, SENSOR_ACCEL
1518705170928, -0.01, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705170968, -0.009, 0.121, 1.022, METAWEAR, SENSOR_ACCEL
1518705171020, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705171026, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705171077, -0.008, 0.119, 1.021, METAWEAR, SENSOR_ACCEL
1518705171130, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705171169, -0.008, 0.12, 1.024, METAWEAR, SENSOR_ACCEL
1518705171219, -0.009, 0.119, 1.022, METAWEAR, SENSOR_ACCEL
1518705171227, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705171272, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705171322, -0.007, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705171370, -0.008, 0.119, 1.023, METAWEAR, SENSOR_ACCEL
1518705171418, -0.008, 0.119, 1.022, METAWEAR, SENSOR_ACCEL
1518705171425, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705171476, -0.009, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705171522, -0.009, 0.119, 1.023, METAWEAR, SENSOR_ACCEL
1518705171568, -0.007, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705171618, -0.008, 0.121, 1.022, METAWEAR, SENSOR_ACCEL
1518705171626, -0.008, 0.121, 1.022, METAWEAR, SENSOR_ACCEL
1518705171674, -0.009, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705171723, -0.009, 0.121, 1.024, METAWEAR, SENSOR_ACCEL
1518705171768, -0.009, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705171821, -0.008, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705171838, -0.007, 0.121, 1.023, METAWEAR, SENSOR_ACCEL
1518705171869, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705171920, -0.008, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705171968, -0.01, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
1518705172018, -0.009, 0.121, 1.023, METAWEAR, SENSOR_ACCEL
1518705172027, -0.007, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705172122, -0.007, 0.12, 1.022, METAWEAR, SENSOR_ACCEL
1518705172128, -0.009, 0.119, 1.023, METAWEAR, SENSOR_ACCEL
1518705172167, -0.008, 0.119, 1.022, METAWEAR, SENSOR_ACCEL
1518705172221, -0.009, 0.12, 1.023, METAWEAR, SENSOR_ACCEL
